avg_vote,metascore,tomatometer_score,audience_score,usa_gross_income,worldwide_gross_income
6.2,,55%,49%, 32589677,74189677
5.9,,20%,69%, 18225518,18225518
6.8,,40%,71%, 5864949,5864949
6.8,,37%,71%, 39514713,39514713
7.1,,50%,73%, 1677807,1677807
6.6,,57%,63%, 38922972,133752825
6.9,,30%,72%, 6265311,6265311
7.2,74.0,96%,79%, 102314823,176997168
8.1,84.0,94%,95%, 25096862,65796862
5.9,35.0,35%,47%, 106614059,266614059
6.5,,58%,65%, 14904910,14904910
5.7,,25%,48%, 1640220,1640220
7.7,84.0,86%,89%, 32901136,32901136
6.6,,35%,55%, 12526677,12526677
8.1,68.0,91%,91%, 402828120,1030314141
6.7,49.0,59%,64%, 2395231,2395231
6.4,44.0,36%,47%, 50016394,137298489
4.8,,23%,32%, 8556940,8556940
6.1,,68%,53%, 4858139,4858139
4.4,,0%,29%, 10340263,10340263
6.8,,71%,77%, 9285189,9285189
5.0,,31%,29%, 44942695,104942695
6.4,,59%,46%, 46405336,46405336
5.2,,21%,43%, 12974636,12974636
7.4,,93%,84%, 11330911,11330911
5.8,,33%,43%, 2059832,2059832
6.8,,94%,62%, 9532895,9532895
7.5,76.0,84%,93%, 27912072,27912072
5.8,,46%,51%, 8345845,8345845
3.8,,6%,33%, 4348572,4348572
5.9,,52%,43%, 3125424,3125424
7.0,53.0,71%,77%, 219195243,441286195
7.3,,86%,77%, 22549338,22549338
5.4,,14%,45%, 3335984,3335984
6.8,,42%,74%, 27804899,27804899
6.0,,56%,37%, 1884814,1884814
8.0,82.0,95%,91%, 75082668,88170974
5.7,,30%,32%, 22189039,22189039
5.8,,50%,63%, 2119994,2119994
6.5,,22%,69%, 6582052,6582052
7.2,74.0,84%,82%, 5377643,5377643
6.6,50.0,53%,61%, 100768056,195268056
7.6,71.0,79%,84%, 31130999,135130999
7.7,66.0,80%,89%, 77446440,206678440
7.6,89.0,92%,86%, 40157856,40168956
6.0,51.0,34%,83%, 27515786,27515786
5.5,,67%,52%, 18289763,18289763
6.5,,43%,80%, 23032565,23032565
7.8,84.0,95%,89%, 23237911,23237911
6.2,56.0,33%,40%, 63179523,107198790
6.7,44.0,40%,81%, 35739755,35739755
4.1,40.0,3%,14%, 10696210,10696210
6.6,,24%,62%, 3275585,3275585
6.0,53.0,35%,52%, 53615089,56500758
8.9,94.0,97%,97%, 96898818,322243445
7.4,89.0,100%,86%, 7266383,7266383
7.3,74.0,66%,49%, 31181347,31181347
7.3,,97%,89%, 25842377,25842377
5.6,38.0,17%,61%, 57319029,57319029
6.8,72.0,88%,71%, 6405918,6405918
6.8,72.0,74%,75%, 126808165,227927165
5.0,38.0,11%,28%, 36300000,116300000
6.4,,54%,68%, 11585483,11585483
3.9,33.0,6%,18%, 2438031,2438031
7.5,,50%,41%, 152972,152972
5.8,,17%,35%, 24107867,24107867
4.8,40.0,23%,34%, 42273609,42273609
5.3,,29%,16%, 6419876,6419876
6.4,,57%,70%, 1029721,1029721
6.4,43.0,26%,39%, 53898845,53898845
5.5,,53%,35%, 5516936,5516936
7.8,50.0,74%,94%, 56505065,56505065
7.9,59.0,93%,93%, 12281551,12281551
6.8,,54%,77%, 18898806,18898806
6.2,60.0,60%,63%, 48197805,48197805
4.8,,10%,41%, 12741891,12741891
7.8,73.0,90%,89%, 10032765,10032765
4.5,39.0,15%,40%, 11798854,11798854
6.6,,31%,94%, 19623396,19623396
6.6,,53%,83%, 16192320,16192320
6.9,37.0,48%,57%, 72217396,107217396
5.5,,21%,35%, 21011318,21011318
6.1,44.0,83%,64%, 50236831,50236831
6.1,,20%,52%, 16827402,16827402
5.2,,9%,40%, 15240435,15240435
7.0,74.0,82%,80%, 7266973,7266973
5.6,16.0,10%,35%, 42614912,119208989
5.0,,19%,41%, 7941977,7941977
6.2,,63%,45%, 16696219,16696219
6.2,,32%,40%, 30156002,30156002
6.4,,78%,58%, 3359465,3359465
6.0,,14%,52%, 163971,163971
6.2,,40%,37%, 3038499,3038499
6.9,74.0,79%,74%, 122187717,215887717
7.7,70.0,88%,89%, 3151130,3151130
6.7,65.0,78%,69%, 92115211,117615211
5.5,,10%,67%, 7408745,7408745
5.2,36.0,22%,30%, 19726050,19726050
7.0,65.0,77%,90%, 13642861,13642861
7.6,71.0,82%,90%, 50693129,50693129
4.9,25.0,0%,32%, 1702394,1702394
7.3,72.0,82%,82%, 3103716,3103716
